,Menon & Menon Limited.,Menon Kagal EL,January,,,2,5517
,Menon & Menon Limited..,Menon Kagal NEEM,January,,,54,85229
,Menon Pistons Ltd,Menon Piston EL,January,,,7,12892
,Mercedes Benz,Mercedes,January,,,12,12744
,Mercedes Benz,Mercedes Blue Collar,January,,,2,1982
,Metalyst Forging Ltd,MFL,January,,,9,20937
,METRO Cash & Carry India Pvt Ltd DC 28,Metro Cash DC 28,January,,,13,19895
,Metro Cash and Carry India DC 16,Metro Cash DC 16,January,,,146,121192
,Metro Cash and Carry India DC 47,Metro Cash DC 47,January,,,47,73052
,Metro Cash and Carry India DC 53,Metro Cash DC 53,January,,,41,67417
,Metro Cash and Carry India DC 60,Metro Cash DC 60,January,,,83,126739
,Metro Cash and Carry India Pvt Ltd DC 10,Metro Cash DC 10,January,,,149,243713
,Metro Cash and Carry India Pvt Ltd DC 11,Metro Cash DC 11,January,,,123,200466
,Metro Cash and Carry India Pvt Ltd DC 12,Metro Cash DC 12,January,,,102,176321
,Metro Cash and Carry India Pvt Ltd DC 15,Metro Cash DC 15,January,,,68,103598
,Metro Cash and Carry India Pvt Ltd DC 17,Metro Cash DC 17,January,,,107,205092
,Metro Cash and Carry India Pvt Ltd DC 18,Metro Cash DC 18,January,,,102,171339
,Metro Cash and Carry India Pvt Ltd DC 19,Metro Cash DC 19,January,,,112,233446
,Metro Cash and Carry India Pvt Ltd DC 24,Metro Cash DC 24,January,,,66,124470
,Metro Cash and Carry India Pvt Ltd DC 25,Metro Cash DC 25,January,,,115,78463
,Metro Cash and Carry India Pvt Ltd DC 26,Metro Cash DC 26,January,,,11,18174
,Metro Cash and Carry India Pvt Ltd DC 27,Metro Cash DC 27,January,,,20,29195
,Metro Cash and Carry India Pvt Ltd DC 29,Metro Cash DC 29,January,,,89,160834
,Metro Cash and Carry India Pvt Ltd DC 32,Metro Cash DC 32,January,,,65,100453
,Metro Cash and Carry India Pvt Ltd DC 43,Metro Cash DC 43,January,,,48,69168
,Metro Cash and Carry India Pvt Ltd DC 45,Metro Cash DC 45,January,,,45,62914
,Metro Cash and Carry India Pvt Ltd DC 46,Metro Cash DC 46,January,,,71,166378
,Metro Cash and Carry India Pvt Ltd DC 48,Metro Cash DC 48,January,,,46,73355
,Metro Cash and Carry India Pvt Ltd DC 52,Metro DC 52,January,,,47,97564
,Metro Cash and Carry India Pvt Ltd DC 54,Metro Cash DC 54,January,,,52,93375
,Minda Industries Ltd,Minda Hosur,January,,,187,408673
,Minda Industries Ltd (Lighting Division),Minda Lighting,January,,,89,136085
,MINDA INDUSTRIES LTD (LIGHTING DIVISION).,Minda Chennai,January,,,43,93919
,Minda Industries Ltd (Sensor 2),Minda Sensor 2,January,,,16,28568
,Minda Industries Ltd (Switch Division),Minda Switch Div,January,,,82,207547
,MINDA KATOOLEC ELECTRONIC SERVICES PVT LTD,MINDA KATOOLEC,January,,,50,84860
,MINDA KYORAKU LIMITED,Minda Kyoraku,January,,,13,27434
,Minda Rinder Private Limited,Minda Rinder Hosur,January,,,107,248658
,Mitsuba Sical India Private Limited,Mitsuba,January,,,48,89807
,Mivin Engg Technologies Pvt Ltd,Mivin Engg,January,,,21,38230
,Moldtek Packaging Ltd,Moldtek,January,,,1,0
,Mothersons Automotive Technologies & Engineering,Mate,January,,,64,108740
,MUTUAL AUTOMOTIVE PRIVATE LIMITED,Mutual Shikrapur,January,,,70,74794
,MUTUAL AUTOMOTIVE PRIVATE LIMITED,Mutual Sanaswadi.,January,,,28,57222
,Neosym Industry Ltd,Neosym,January,,,186,296383
,Nexteer Automotive India Private Limited,Nexteer,January,,,24,49557
,Nexteer Automotive India Private Limited.,Nexteer Pune,January,,,4,6814
,Nipro India Corporation Pvt Ltd,Nipro,January,,,441,634527
,Nipro Pharma Packaging India Private Limited,Nipro Pharma,January,,,68,174488
,Norma Group Products India Pvt Ltd,Norma,January,,,27,59018
,Ohsung Electronics India Pvt Ltd,Ohsung,January,,,87,204366
,Otto Bilz India Pvt Ltd,Otto Bilz,January,,,5,9809
