Company_ID,Name_of_Company,Months,Services,Unit,Invoice_Value,IPP
Owari,Owari Precision Products ,January,,56,113190,0.0
Premium,Premium Transmission Limi,January,,86,181336,0.0
Precision Plastic,Precision Plastic Enginee,January,,14,25173,0.0
PPG,PPG ASIAN PAINTS PRIVATE ,January,,52,71961,0.0
Paras,Paras Power Engineering P,January,,16,24068,0.0
Plansee,Plansee India High Perfor,January,,20,21470,0.0
Rao Nursing,Rao Nursing Home,January,,29,27484,0.0
R Vision,R-Vision Plastic Industri,January,,1,2596,0.0
Recipharma,Recipharm Pharmaservices ,January,,55,113837,0.0
Renata Karandi,RENATA PRECISION COMPONEN,January,,138,279251,0.0
Renata Bhosari,RENATA PRECISION COMPONEN,January,,2,2136,0.0
Renata Sector 7,Renata Precision Componen,January,,15,37188,0.0
Rinder Chakan,RINDER INDIA PVT. LTD.,January,,30,42320,0.0
Minda Rinder Hosur,Minda Rinder Private Limi,January,,107,248658,0.0
Rokiminda,ROKIMINDA CO PRIVATE LTD,January,,78,157657,0.0
San & San,San and San Auto Private ,January,,14,13593,0.0
Selec Control,Selec Control Pvt Ltd,January,,48,46698,0.0
Selec EL 67,Selec Control Pvt Ltd.,January,,41,96165,0.0
Selec EL 180,Selec Control Pvt Ltd,January,,101,37379,0.0
Selec EL 171,Selec Control Pvt Ltd,January,,37,40944,0.0
SFO,SFO Technologies Pvt Ltd,January,,5,11065,0.0
Schneider Hyderabad,Schneider Electric India ,January,,340,748325,0.0
Schneider Banglore,Schneider Electric IT Bus,January,,142,384366,0.0
Schneider Vadodara,Schneider Electric Infras,January,,1,1914,0.0
Schneider Rudranagar,Schneider Electric IT Bus,January,,22,46011,0.0
Schneider SEPFC,Schneider Electric SEPFC,January,,226,482228,0.0
Schneider President,SCHNEIDER ELECTRIC PRESID,January,,55,134934,0.0
Shivam,Shivam Autotech Ltd,January,,23,24268,0.0
Shubhra,Shubhra Plastics Private ,January,,57,97012,0.0
Stanley Lifestyle,Stanley Lifestyles Limite,January,,36,30771,0.0
Stanley Sofas,STANLEY OEM SOFAS LTD,January,,33,26889,0.0
Stanzen,Stanzen Engineering Pvt L,January,,53,127194,0.0
Sulzer NEEM,Sulzer India Pvt. Ltd.,January,,4,10761,0.0
Schmetz,Schmetz India Private Lim,January,,17,17642,0.0
Seltech,SELTECH SALES & SERVICES,January,,97,96110,0.0
Senapathy,Senapathy Whiteley Pvt Lt,January,,49,94864,0.0
Shirodkar,SHIRODKAR PRECI COMP PVT ,January,,9,15417,0.0
Sujan,Sujan Cooper Standard AVS,January,,23,40727,0.0
Saehan Stamping,Saehan Stamping Private L,January,,136,136251,0.0
Tata Hitachi,Tata Hitachi Construction,January,,154,306140,0.0
Thyssenkrupp,Thyssenkrupp Elevator (In,January,,21,61535,0.0
TMEIC PE Unit,TMEIC INDUSTRIAL SYSTEMS ,January,,106,586238,0.0
TMEIC RM Unit,TMEIC Industrial Systems ,January,,271,228940,0.0
Tokai Rika,Tokai Rika Minda India Pv,January,,204,238108,0.0
Toyota Boshoku,Toyota Boshoku Automotive,January,,308,602097,0.0
Toyota Engine,Toyota Industries Engine ,January,,303,586495,0.0
Toyota Boshoku Hosur,TOYOTA BOSHOKU AUTOMOTIVE,January,,33,63063,0.0
Toyoda Gosei,TOYODA GOSEI SOUTH INDIA ,January,,88,171523,0.0
Toyotetsu,Toyotetsu India Private L,January,,104,256286,0.0
Unibic,Unibic Foods India Privat,January,,22,45111,0.0
VEPL_V,Varroc Engineering Pvt Lt,January,,155,158470,0.0
Varroc Forging VII,Varroc Engineering Pvt Lt,January,,22,21872,0.0
Varroc Val VII,Varroc Engineering Pvt Lt,January,,125,116105,0.0
Varroc Chennai,Varroc Engineering Pvt. L,January,,12,14594,0.0
VPPL II,Varroc Polymers Pvt Ltd -,January,,130,115971,0.0
Varsa Plastic,Varsa Plastic Industries ,January,,80,127629,0.0
Varsa Plastic Unit 2,Varsa Plastic Industries ,January,,45,98492,0.0
Varsa Plastic Unit 6,Varsa Plastic Industries ,January,,1,2261,0.0
Varroc AMD,Varroc Engineering Ltd - ,January,,14,16284,0.0
VEPL III,Varroc Engineering Ltd - ,January,,170,134517,0.0
VEPL IV,Varroc Engineering Pvt Lt,January,,115,144652,0.0
VEPL I,Varroc Engineering Ltd Pl,January,,115,128535,0.0
VEPL II,Varroc Engineering Ltd Un,January,,160,173959,0.0
VEPL VIII,Varroc Engineering Ltd Pl,January,,66,43781,0.0
VEPL VI,Varroc Engineering Pvt Lt,January,,65,55238,0.0
VPPL I,Varroc Polymers Pvt Ltd -,January,,95,97347,0.0
Varroc Chakan,Varroc Polymers Pvt Ltd (,January,,7,6623,0.0
Visteon,Visteon Electronics India,January,,203,141435,0.0
Wipro,Wipro Kawasaki Precision ,January,,60,130995,0.0
Western Heat Bhosari,Western Heat And Forge Pv,January,,9,10317,0.0
Yagachi,Yagachi Technologies Pvt ,January,,88,168415,0.0
Yuken Malur,Yuken India Limited,January,,42,129384,0.0
Yuken Peenya,Yuken India Limited,January,,0,0,0.0
Yash Precision,Yash Precision Plastics P,January,,6,8613,0.0
Zamil Steel,Zamil Steel Buildings Ind,January,,25,59823,0.0
MHL Bhosari,MAHINDRA CIE Automotive L,January,,309,653724,0.0
LG,LG Electronics India Pvt ,January,,424,1048949,0.0
Haier,Haier Appliance India Pvt,January,,123,215715,0.0
Renata Karandi Naps,Renata Precision Componen,January,,10,26718,0.0
Alf Engg,ALF Engineering P Ltd,January,,3,6793,0.0
ABB INDIA-Mysore,ABB INDIA LIMITED,January,,8,18038,0.0
Atomberg,Atomberg Technologies Pvt,January,,49,111856,0.0
Arka Anand,Arka Anand Automation,January,,2,2557,0.0
Britannia,Britannia Industries Limi,January,,9,15418,0.0
Cataler India,Cataler India Auto Parts ,January,,7,12183,0.0
Carlberg,Carlsberg India Pvt. Ltd.,January,,11,11484,0.0
Carraro,CARRARO INDIA PVT LTD,January,,22,38940,0.0
Connectwell,Connectwell Industries Pv,January,,92,187278,0.0
Cummins HHP,Cummnins HHP,January,,10,19097,0.0
Cummins PGBU,Cummins India Limited -SE,January,,24,30932,0.0
Cummins PHP,Cummins technologies Ind ,January,,51,68274,0.0
Cummins IPDC,Cummins India Limited ,January,,60,111693,0.0
Cummins Recon,Cummins Technologies Indi,January,,9,14971,0.0
Duroshox,Duroshox Pvt Ltd,January,,2,4738,0.0
Fleetguard,Fleetguard Filters Privat,January,,78,119670,0.0
Gestamp,Gestamp automotive India ,January,,30,32252,0.0
Interflex,Interflex Electronics Ind,January,,24,70194,0.0
ITC Kolkata,ITC Limited,January,,18,73862,0.0
ITC Uluberia,ITC FOOD PVT LTD .,January,,36,36789,0.0
Mercedes,Mercedes Benz,January,,12,12744,0.0
Mercedes Blue Collar,Mercedes Benz,January,,2,1982,0.0
Moldtek,Moldtek Packaging Ltd,January,,1,0,0.0
Neosym,Neosym Industry Ltd,January,,186,296383,0.0
Posco,POSCO Maharashtra Steel P,January,,4,8128,0.0
Rsthal,R.STAHL PRIVATE LIMITED,January,,12,26899,0.0
Rajiv Plastic,Rajiv Plastics Pvt Ltd,January,,12,12749,0.0
Remsons Daman,Remsons Industries Ltd.,January,,1,23452,0.0
Remsons Gurgaon,Remsons Industries Ltd,January,,238,523094,0.0
Remsons A-23,Remsons Industries Ltd.,January,,34,39791,0.0
Sakhti Gear Unit 2,Sakthi Gear Products (Uni,January,,8,6928,0.0
Slidewell Nashik,Slidewell Meilleur Tech P,January,,3,3464,0.0
Cummins TCL3,Tata Cummins Private Limi,January,,31,56838,0.0
Cummins TCL2,Tata Cummins Private Limi,January,,9,16784,0.0
Weir Mineral,WEIR MINERALS (INDIA) PRI,January,,24,27751,0.0
Wheels India,Wheels India Ltd,January,,10,7709,0.0
P2W,Piaggio Vehicles Pvt Ltd,January,,37,55043,0.0
BFL Pune NEEM,BHARAT FORGE LTD,January,,331,118620,0.0
Bharat Forge Baramati,Bharat Forge Limited,January,,72,585516,0.0
Bharat Forge Baramati,Bharat Forge Limited,January,,72,585516,0.0
Bharat Forge Baramati,Bharat Forge Limited,January,,72,585516,0.0
Bharat Forge Baramati,Bharat Forge Limited,January,,72,585516,0.0
Bharat Forge Baramati,Bharat Forge Limited,January,,72,585516,0.0
Bharat Forge Baramati,Bharat Forge Limited,January,,72,585516,0.0
BFL EL,BHARAT FORGE LTD,January,,11,47326,0.0
LG,LG Electronics India Pvt ,January,,424,1048949,0.0
LG,LG Electronics India Pvt ,January,,424,1048949,0.0
LG,LG Electronics India Pvt ,January,,424,1048949,0.0
LG,LG Electronics India Pvt ,January,,424,1048949,0.0
LG,LG Electronics India Pvt ,January,,424,1048949,0.0
LG,LG Electronics India Pvt ,January,,424,1048949,0.0
Schneider Chennai,M/S. Schneider Electric I,January,,235,575498,0.0
MHL Bhosari,MAHINDRA CIE Automotive L,January,,309,653724,0.0
MHL Urse NEEM,MAHINDRA CIE Automotive L,January,,280,416761,0.0
MHL Urse NEEM,MAHINDRA CIE Automotive L,January,,280,416761,0.0
MHL Urse NEEM,MAHINDRA CIE Automotive L,January,,280,416761,0.0
,Mahindra CIE Automotive L,January,,0,0,0.0
Menon NEEM,Menon & Menon Limited,January,,205,262187,0.0
Menon Kagal NEEM,Menon & Menon Limited,January,,54,85229,0.0
Menon NEEM,Menon & Menon Limited,January,,205,262187,0.0
Menon Kagal NEEM,Menon & Menon Limited.,January,,54,85229,0.0
Menon NEEM,Menon & Menon Limited,January,,205,262187,0.0
,Minda Industries Ltd,January,,0,0,0.0
,Mothersons Automotive Tec,January,,0,0,0.0
,Neosym Industry Ltd,January,,0,0,0.0
,Neosym Industry Ltd,January,,0,0,0.0
,Ohsung Electronics India ,January,,0,0,0.0
,Taparia Tools Ltd,January,,0,0,0.0
,Valeo India Pvt Ltd,January,,0,0,0.0
,Valeo India Pvt Ltd,January,,0,0,0.0
,Valeo India Pvt Ltd,January,,0,0,0.0
,Valeo India Pvt Ltd,January,,0,0,0.0
,Varroc Engineering Pvt Lt,January,,0,0,0.0
,Varroc Engineering Pvt Lt,January,,0,0,0.0
,Varroc Polymers Pvt Ltd -,January,,0,0,0.0
,Varroc Polymers Pvt Ltd -,January,,0,0,0.0
,Varsa Plastic Industries ,January,,0,0,0.0
,Minda Rinder Private Limi,January,,0,0,0.0
,Minda Industries Ltd ( Se,January,,0,0,0.0
,Minda Industries Ltd ( Se,January,,0,0,0.0
,Minda Industries Ltd (Swi,January,,0,0,0.0
,Minda Industries Ltd (Swi,January,,0,0,0.0
,Supreme Treon Pvt Ltd,January,,0,0,0.0
,Badve Engineering Ltd CTP,January,,0,0,0.0
,Badve Engineering Ltd APP,January,,0,0,0.0
,Varroc Engineering Ltd Un,January,,0,0,0.0
