Company_ID,Name_of_Company,Unit,IPP
Metro Cash DC 25,Metro Cash and Carry Indi,499,60.0
Metro Cash DC 26,Metro Cash and Carry Indi,3037,707.0
Metro Cash DC 27,Metro Cash and Carry Indi,2703,630.0
Metro Cash DC 29,Metro Cash and Carry Indi,2162,1134.0
Metro Cash DC 32,Metro Cash and Carry Indi,1826,961.0
Metro Cash DC 43,Metro Cash and Carry Indi,1174,614.0
Metro Cash DC 45,Metro Cash and Carry Indi,1179,273.0
Metro Cash DC 46,Metro Cash and Carry Indi,2046,1071.0
Metro Cash DC 48,Metro Cash and Carry Indi,1296,301.0
Metro DC 52,Metro Cash and Carry Indi,1401,740.0
Metro Cash DC 54,Metro Cash and Carry Indi,1435,756.0
Minda Hosur,Minda Industries Ltd,4529,2378.0
Minda Hosur,Minda Industries Ltd,4529,2378.0
Minda Lighting,Minda Industries Ltd (Lig,2162,2552.0
Minda Chennai,MINDA INDUSTRIES LTD (LIG,1192,630.0
Minda Sensor 2,Minda Industries Ltd (Sen,1295,1524.0
Minda Switch Div,Minda Industries Ltd (Swi,2112,2481.0
Minda Switch Div,Minda Industries Ltd (Swi,2112,2481.0
MINDA KATOOLEC,MINDA KATOOLEC ELECTRONIC,1393,724.0
Minda Kyoraku,MINDA KYORAKU LIMITED,323,260.0
Minda Rinder Hosur,Minda Rinder Private Limi,2206,2622.0
Minda Rinder Hosur,Minda Rinder Private Limi,2206,2622.0
Mitsuba,Mitsuba Sical India Priva,1428,756.0
Mivin Engg,Mivin Engg Technologies P,607,140.0
Moldtek,Moldtek Packaging Ltd,9,0.0
Mate,Mothersons Automotive Tec,1559,819.0
Mate,Mothersons Automotive Tec,1559,819.0
Mutual Shikrapur,MUTUAL AUTOMOTIVE PRIVATE,914,709.0
Mutual Sanaswadi.,MUTUAL AUTOMOTIVE PRIVATE,904,709.0
Neosym,Neosym Industry Ltd,3488,1827.0
Neosym,Neosym Industry Ltd,3488,1827.0
Neosym,Neosym Industry Ltd,3488,1827.0
Nexteer,Nexteer Automotive India ,720,252.0
Nexteer Pune,Nexteer Automotive India ,99,32.0
Nipro,Nipro India Corporation P,12233,4284.0
Nipro Pharma,Nipro Pharma Packaging In,2083,724.0
Norma,Norma Group Products Indi,702,362.0
Ohsung,Ohsung Electronics India ,2065,1087.0
Ohsung,Ohsung Electronics India ,2065,1087.0
Otto Bilz,Otto Bilz India Pvt Ltd,130,42.0
Owari,Owari Precision Products ,1644,385.0
Paras,Paras Power Engineering P,421,496.0
Pentair,Pentair Valves And Contro,179,142.0
Persistent,Persistent System Ltd,93,10.0
P3W Vehicle,Piaggio Vehicles Private ,5421,1900.0
P3W Vehicle,Piaggio Vehicles Pvt Ltd,5421,1900.0
P2W,Piaggio Vehicles Pvt Ltd,913,472.0
Plansee,Plansee India High Perfor,564,133.0
Posco,POSCO Maharashtra Steel P,48,21.0
PPG,PPG ASIAN PAINTS PRIVATE ,1463,514.0
Precision Plastic,Precision Plastic Enginee,318,173.0
Premium,Premium Transmission Limi,2443,1914.0
Rsthal,R.STAHL PRIVATE LIMITED,324,173.0
Rajiv Plastic,Rajiv Plastics Pvt Ltd,174,94.0
Rao Nursing,Rao Nursing Home,740,262.0
Recipharma,Recipharm Pharmaservices ,1262,441.0
Remsons Gurgaon,Remsons Industries Ltd,5420,6414.0
Remsons Daman,Remsons Industries Ltd.,874,1028.0
Remsons A-23,Remsons Industries Ltd.,1,0.0
Renata Karandi,RENATA PRECISION COMPONEN,3195,1124.0
Renata Bhosari,RENATA PRECISION COMPONEN,298,105.0
Renata Karandi Naps,Renata Precision Componen,22,5.0
Renata Sector 7,Renata Precision Componen,438,158.0
Rinder Chakan,RINDER INDIA PVT. LTD.,672,780.0
Rokiminda,ROKIMINDA CO PRIVATE LTD,2128,746.0
R Vision,R-Vision Plastic Industri,31,24.0
Saehan Stamping,Saehan Stamping Private L,3353,1764.0
Sakhti Gear Unit 2,Sakthi Gear Products (Uni,158,177.0
San & San,San and San Auto Private ,311,354.0
Schmetz,Schmetz India Private Lim,515,119.0
Schneider Hyderabad,Schneider Electric India ,9494,7466.0
Schneider Vadodara,Schneider Electric Infras,29,4.0
Schneider Banglore,Schneider Electric IT Bus,4039,945.0
Schneider Rudranagar,Schneider Electric IT Bus,646,77.0
Schneider President,SCHNEIDER ELECTRIC PRESID,1467,343.0
Schneider SEPFC,Schneider Electric SEPFC,6174,1442.0
Selec Control,Selec Control Pvt Ltd,1169,410.0
Selec EL 180,Selec Control Pvt Ltd,2396,840.0
Selec EL 171,Selec Control Pvt Ltd,864,304.0
Selec EL 67,Selec Control Pvt Ltd.,1027,357.0
Seltech,SELTECH SALES & SERVICES,2407,1260.0
Senapathy,Senapathy Whiteley Pvt Lt,1332,308.0
SFO,SFO Technologies Pvt Ltd,153,35.0
Shirodkar,SHIRODKAR PRECI COMP PVT ,270,213.0
Shivam,Shivam Autotech Ltd,637,496.0
Shubhra,Shubhra Plastics Private ,1218,969.0
Slidewell Nashik,Slidewell Meilleur Tech P,85,71.0
Stanley Lifestyle,Stanley Lifestyles Limite,1078,378.0
Stanley Sofas,STANLEY OEM SOFAS LTD,942,163.0
Stanzen,Stanzen Engineering Pvt L,1571,364.0
Sujan,Sujan Cooper Standard AVS,582,673.0
Sulzer EL,Sulzer India Pvt Ltd,213,165.0
Sulzer NEEM,Sulzer India Pvt. Ltd.,124,63.0
Supreme,Supreme Treon Pvt Ltd,539,425.0
Supreme,Supreme Treon Pvt Ltd,539,425.0
Taparia,Taparia Tools Ltd,5830,4583.0
Taparia,Taparia Tools Ltd,5830,4583.0
Cummins TCL2,Tata Cummins Private Limi,249,56.0
Cummins TCL3,Tata Cummins Private Limi,833,196.0
Tata Hitachi,Tata Hitachi Construction,2900,679.0
Thyssenkrupp,Thyssenkrupp Elevator (In,581,200.0
TMEIC RM Unit,TMEIC Industrial Systems ,7778,1813.0
TMEIC PE Unit,TMEIC INDUSTRIAL SYSTEMS ,2813,658.0
Tokai Rika,Tokai Rika Minda India Pv,6014,1400.0
Toyoda Gosei,TOYODA GOSEI SOUTH INDIA ,2492,581.0
Toyota Boshoku,Toyota Boshoku Automotive,9039,2107.0
Toyota Boshoku Hosur,TOYOTA BOSHOKU AUTOMOTIVE,1004,231.0
Toyota Engine,Toyota Industries Engine ,8521,1988.0
Toyotetsu,Toyotetsu India Private L,3128,728.0
Unibic,Unibic Foods India Privat,543,284.0
Valeo,Valeo India Pvt Ltd,8255,4331.0
Valeo,Valeo India Pvt Ltd,8255,4331.0
Valeo,Valeo India Pvt Ltd,8255,4331.0
