Mahindra CIE Automotive Ltd. (Gear Division Pune),Mahindra Gear,NEEM,1988,290309
Mahindra CIE Automotive Ltd. (Gear Division Pune),,Talensetu,148,
Mahindra Sanyo Special Steel Pvt. Ltd,MSSL,NEEM,863.5,51330
Mahindra Sanyo Special Steel Pvt. Ltd .,MSSL NEEM,NEEM,458,38940
Mars International India Pvt. Ltd.,Mars,NEEM,419,49442
Maxion Wheels Aluminum India Private Limited,Maxion,NEEM,3261,192399
Menon & Menon Limited,Menon EL,EL,450,49438
Menon & Menon Limited -,Menon NEEM,NEEM,3992,262187
Menon & Menon Limited.,Menon Kagal EL,EL,52,5517
Menon & Menon Limited..,Menon Kagal NEEM,NEEM,1300,85229
Menon Pistons Ltd,Menon Piston EL,EL,118,12892
Mercedes Benz,Mercedes,NEEM,360,12744
Mercedes Benz,Mercedes Blue Collar,NEEM,360,1982
Metalyst Forging Ltd,MFL,EL,179.5,20937
METRO Cash & Carry India Pvt Ltd DC 28,Metro Cash DC 28,NEEM,349,19895
Metro Cash and Carry India DC 16,Metro Cash DC 16,NEEM,3697,121192
Metro Cash and Carry India DC 47,Metro Cash DC 47,NEEM,1300,73052
Metro Cash and Carry India DC 53,Metro Cash DC 53,NEEM,1206,67417
Metro Cash and Carry India DC 60,Metro Cash DC 60,NEEM,2208,126739
Metro Cash and Carry India Pvt Ltd DC 10,Metro Cash DC 10,NEEM,3982,243713
Metro Cash and Carry India Pvt Ltd DC 11,Metro Cash DC 11,NEEM,3273,200466
Metro Cash and Carry India Pvt Ltd DC 12,Metro Cash DC 12,NEEM,2089,176321
Metro Cash and Carry India Pvt Ltd DC 15,Metro Cash DC 15,NEEM,1319,103598
Metro Cash and Carry India Pvt Ltd DC 17,Metro Cash DC 17,NEEM,2584,205092
Metro Cash and Carry India Pvt Ltd DC 18,Metro Cash DC 18,NEEM,2867,171339
Metro Cash and Carry India Pvt Ltd DC 19,Metro Cash DC 19,NEEM,1951,233446
Metro Cash and Carry India Pvt Ltd DC 24,Metro Cash DC 24,NEEM,330,124470
Metro Cash and Carry India Pvt Ltd DC 25,Metro Cash DC 25,NEEM,499.5,78463
Metro Cash and Carry India Pvt Ltd DC 26,Metro Cash DC 26,NEEM,3037,18174
Metro Cash and Carry India Pvt Ltd DC 27,Metro Cash DC 27,NEEM,2703,29195
Metro Cash and Carry India Pvt Ltd DC 29,Metro Cash DC 29,NEEM,2162,160834
Metro Cash and Carry India Pvt Ltd DC 32,Metro Cash DC 32,NEEM,1826,100453
Metro Cash and Carry India Pvt Ltd DC 43,Metro Cash DC 43,NEEM,1174,69168
Metro Cash and Carry India Pvt Ltd DC 45,Metro Cash DC 45,NEEM,1179,62914
Metro Cash and Carry India Pvt Ltd DC 46,Metro Cash DC 46,NEEM,2046,166378
Metro Cash and Carry India Pvt Ltd DC 48,Metro Cash DC 48,NEEM,1296,73355
Metro Cash and Carry India Pvt Ltd DC 52,Metro DC 52,NEEM,1401,97564
Metro Cash and Carry India Pvt Ltd DC 54,Metro Cash DC 54,NEEM,1435,93375
Minda Industries Ltd,Minda Hosur,NEEM,4529,408673
Minda Industries Ltd (Lighting Division),Minda Lighting,NEEM,2162,136085
MINDA INDUSTRIES LTD (LIGHTING DIVISION).,Minda Chennai,NEEM,1192,93919
Minda Industries Ltd (Sensor 2),Minda Sensor 2,NEEM,1295.5469,28568
Minda Industries Ltd (Switch Division),Minda Switch Div,NEEM,2112.5,207547
MINDA KATOOLEC ELECTRONIC SERVICES PVT LTD,MINDA KATOOLEC,NEEM,1393.5,84860
MINDA KYORAKU LIMITED,Minda Kyoraku,NEEM,323.5,27434
Minda Rinder Private Limited,Minda Rinder Hosur,NEEM,2206.5,248658
Mitsuba Sical India Private Limited,Mitsuba,NEEM,1428.5,89807
Mivin Engg Technologies Pvt Ltd,Mivin Engg,NEEM,607.5,38230
Moldtek Packaging Ltd,Moldtek,NEEM,9,0
Mothersons Automotive Technologies & Engineering,Mate,EL,1559,108740
MUTUAL AUTOMOTIVE PRIVATE LIMITED,Mutual Shikrapur,NEEM,914,74794
MUTUAL AUTOMOTIVE PRIVATE LIMITED,Mutual Sanaswadi.,NEEM,904,57222
Neosym Industry Ltd,Neosym,NEEM,3488,296383
Nexteer Automotive India Private Limited,Nexteer,NEEM,720,49557
Nexteer Automotive India Private Limited.,Nexteer Pune,NEEM,99,6814
Nipro India Corporation Pvt Ltd,Nipro,NEEM,12233,634527
Nipro Pharma Packaging India Private Limited,Nipro Pharma,NEEM,2083,174488
Norma Group Products India Pvt Ltd,Norma,NEEM,702,59018
Ohsung Electronics India Pvt Ltd,Ohsung,NEEM,2065,204366
Otto Bilz India Pvt Ltd,Otto Bilz,NEEM,130,9809
Owari Precision Products (India) Pvt Ltd,Owari,NEEM,1644.5,113190
Paras Power Engineering Pvt Ltd,Paras,NEEM,421,24068
Pentair Valves And Control India Private Limited,Pentair,NEEM,179.5,16757
Persistent System Ltd,Persistent,NEEM,93,7222
Piaggio Vehicles Private Limited.,P3W Vehicle,EL,5421.5,326858
Piaggio Vehicles Pvt Ltd,P2W,EL,913.5,55043
Plansee India High Performance Materials Private Ltd,Plansee,NEEM,564,21470
POSCO Maharashtra Steel Pvt. Ltd,Posco,NEEM,48,8128
PPG ASIAN PAINTS PRIVATE LIMITED,PPG,NEEM,1463.5,71961
Precision Plastic Engineering Pvt Ltd,Precision Plastic,NEEM,318,25173
Premium Transmission Limited,Premium,NEEM,2443.5,181336
R.STAHL PRIVATE LIMITED,Rsthal,NEEM,324,26899
Rajiv Plastics Pvt Ltd,Rajiv Plastic,NEEM,174,12749
Rao Nursing Home,Rao Nursing,NEEM,740.5,27484
Recipharm Pharmaservices Pvt Ltd,Recipharma,NEEM,1262,113837
Remsons Industries Ltd,Remsons Gurgaon,NEEM,5420,523094
