Harman International India Pvt Ltd.,Harman NEEM,NEEM,SRP,1,1.5,1,1,1
Herman Miller Furniture (India) Pvt Ltd,Herman Miller,NEEM,Franchisee,1,1,1,1,1
Hical Technologies Pvt. Ltd,Hical EC3,NEEM,Franchisee,1.5,1,1,1,1
Hical Technologies Pvt. Ltd.,Hical E1,NEEM,Franchisee,1.5,1,1,1,1
Hyundai Construction Equipment India Ltd,Hyundai EL,EL,SRP,1,1.5,1.5,1.5,1
HYUNDAI STEEL PIPE INDIA PRIVATE LIMITED,Hyundai Steel,NEEM,OP,1,1,1,1,1
IFB Industrial Ltd,IFB,NEEM,SRP,1,1,1,1,1
IMPRESS CONTAINERS COMPANY,Impress,NEEM,SRP,1,1.5,1,1,1.5
India Kawasaki Motors Pvt. Ltd.,India Kawasaki,NEEM,SRP,1.5,1.5,1,1,1.5
Indiana Gratings Pvt Ltd,Indiana,NEEM,op,1.5,1,1,1,1
Indo Schottle Auto Parts pvt Ltd,Indo SEZ,NEEM,SRP,1,1.5,1,1,1
"Indo Schottle Auto Parts pvt Ltd,",Indo Honga,NEEM,SRP,1,1.5,1,1,1
"Indo Schottle Auto Parts pvt Ltd,",Indo Honga,NEEM,SRP,1,1.5,1,1,1
Interflex Electronics India Private Limited,Interflex,NEEM,Franchisee,1,1,1,1,1
ITC Food Limited,ITC,NEEM,SRP,1,1.5,1,1,1
ITC FOOD PVT LTD .,ITC Uluberia,NEEM,SRP,1,1.5,1,1,1.5
ITC Limited,ITC Kolkata,NEEM,SRP,1,1.5,1,1,1.5
Jabil Circuit India Pvt Ltd,Jabil,NEEM,SRP,1,1,1,1,1
Jabil Circuit India Pvt Ltd,Jabil,NEEM,SRP,1,1,1,1,1
Jayashree Electro Devices Pvt Ltd,Jayshree Eletrodevices,NEEM,SRP,1.5,1.5,1,1,1.5
Jayashree Encoders Pvt Ltd,Jayshree Encoders,NEEM,SRP,1.5,1.5,1,1,1.5
Jayshree Electron Pvt Ltd,Jayshree Electron,NEEM,SRP,1.5,1.5,1,1,1.5
JK Precision And Tools,JK Precision,NEEM,Bridge 1,1,1,1,1,1
Kemwell Biopharm Pvt Ltd,Kemwell,NEEM,Franchisee,1,1,1,1,1
Kern-Liebers( India) Pvt Ltd,Kern Lieber,NEEM,SRP,1,1.5,1,1.5,1
Kingfa Science & Technology (India) Limited,Kingfa Chakan,NEEM,SRP,1.5,1.5,1,1,1
Kingfa Science & Technology(India) Ltd,Kingfa,NEEM,SRP,1.5,1.5,1,1,1
Kirloskar Ferrous Industries Ltd.,KFIL NEEM,NEEM,SRP,1,1.5,1,1.5,1
Kirloskar Ferrous Industries Ltd.,KFIL NEEM,NEEM,SRP,1,1.5,1,1.5,1
Konecranes and Demag Private Limited,Konecranes,NEEM,SRP,1.5,1.5,1,1,1.5
Kosei Minda Alumiun Company Pvt Ltd,Kosei Minda,NEEM,SRP,1.5,1,1,1,1
KSPG Automotive India Private Ltd. - Division Bearings,KSPG Supa,NEEM,SRP,1.5,1.5,1,1,1
KSPG Automotive India Private Ltd. - Division Bearings,KSPG Supa,NEEM,SRP,1.5,1.5,1,1,1
KSPG Automotive India Pvt Ltd,KSPG,NEEM,SRP,1.5,1.5,1,1,1
KSPG Automotive India Pvt Ltd,KSPG Mechatronics,NEEM,SRP,1.5,1.5,1,1,1
KSPG Automotive India Pvt Ltd,KSPG,NEEM,SRP,1.5,1.5,1,1,1
KSPG Automotive India Pvt Ltd,KSPG Mechatronics,NEEM,SRP,1.5,1.5,1,1,1
LEONI Cable Solutions (India) PVT LTD,Leoni Cables,NEEM,SRP,1.5,1.5,1,1,1
LEONI Wiring Systems (Pune) Pvt Ltd,Leoni Wiring,NEEM,SP,1.5,1.5,1,1,1
LG Electronics India Pvt Ltd,LG,NEEM,SRP,1,1.5,1,1,1
LG Electronics India Pvt Ltd,LG,NEEM,SRP,1,1.5,1,1,1
LG Electronics India Pvt Ltd,LG,NEEM,SRP,1,1.5,1,1,1
LG Electronics India Pvt Ltd,LG,NEEM,SRP,1,1.5,1,1,1
