Company_ID,Name_of_Company,Unit,IPP
LG,LG Electronics India Pvt ,9494,3318
Haier,Haier Appliance India Pvt,2260,1181
Alf Engg,ALF Engineering P Ltd,73,32
ABB INDIA-Mysore,ABB INDIA LIMITED,198,74
Atomberg,Atomberg Technologies Pvt,1281,677
Arka Anand,Arka Anand Automation,62,32
Britannia,Britannia Industries Limi,224,49
Cataler India,Cataler India Auto Parts ,177,42
Carlberg,Carlsberg India Pvt. Ltd.,292,70
Carraro,CARRARO INDIA PVT LTD,432,147
Connectwell,Connectwell Industries Pv,2095,1102
Cummins HHP,Cummnins HHP,282,63
Cummins PGBU,Cummins India Limited -SE,508,119
Cummins PHP,Cummins technologies Ind ,1141,266
Cummins IPDC,Cummins India Limited ,1642,385
Cummins Recon,Cummins Technologies Indi,214,49
Duroshox,Duroshox Pvt Ltd,42,35
Fleetguard,Fleetguard Filters Privat,2092,490
Gestamp,Gestamp automotive India ,582,449
Interflex,Interflex Electronics Ind,664,154
ITC Kolkata,ITC Limited,520,268
ITC Uluberia,ITC FOOD PVT LTD .,1044,551
Mercedes,Mercedes Benz,360,42
Moldtek,Moldtek Packaging Ltd,9,0
Neosym,Neosym Industry Ltd,3488,1827
Posco,POSCO Maharashtra Steel P,48,21
Rsthal,R.STAHL PRIVATE LIMITED,324,173
Rajiv Plastic,Rajiv Plastics Pvt Ltd,174,94
Remsons Daman,Remsons Industries Ltd.,874,1028
Remsons Gurgaon,Remsons Industries Ltd,5420,6414
Sakhti Gear Unit 2,Sakthi Gear Products (Uni,158,177
Slidewell Nashik,Slidewell Meilleur Tech P,85,71
Cummins TCL3,Tata Cummins Private Limi,833,196
Weir Mineral,WEIR MINERALS (INDIA) PRI,729,84
Wheels India,Wheels India Ltd,118,63
Badve CTPL,Badve Engineering Ltd CTP,0,0
Badve APPL,Badve Engineering Ltd APP,0,0
